"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"RIVCareManager-careteam","CareTeam.subject","CareTeam.subject","","patient
","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Invånare som den fasta kontakten gäller för","Invånare som den fasta kontakten gäller för.","Use Group for care provision to all members of the group (e.g. group therapy).  Use Patient for care provision to an individual patient.","Allows the team to care for a group (e.g. marriage) therapy. 
Allows for an organization to designate a team such as the PICC line team.","","","","","","","",,,,,"",,,,"CareTeam.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.period","CareTeam.period","","","",0,1,"Y","","Y","Period {[]} {[]}
","Time period team covers","Indicates when the team did (or is intended to) come into effect and end.","","Allows tracking what team(s) are in effect at a particular time.","","","","","","","",,,,,"",,,,"CareTeam.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.period.id","CareTeam.period.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.period.extension","CareTeam.period.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.period.start","CareTeam.period.start","","","",0,1,"Y","","Y","dateTime {[]} {[]}
","Startdatum","Det datum då den fasta kontakten börjar gälla.","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.period.end","CareTeam.period.end","","","",0,1,"Y","","Y","dateTime {[]} {[]}
","Slutdatum","Det datum då den fasta kontakten upphör att gälla.","The end value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.participant","CareTeam.participant","","","",1,1,"Y","","","BackboneElement {[]} {[]}
","Fast kontakt","Anger den namngivna vård- eller omsorgspersonal som har rollen som fast kontakt.","","","","","","","","","",,,,,"",,,,"CareTeam.participant",0,*,"","ctm-1:CareTeam.participant.onBehalfOf can only be populated when CareTeam.participant.member is a Practitioner {onBehalfOf.exists() implies (member.resolve() is Practitioner)}
ctm-2:CareTeam.participant.role or CareTeam.participant.member exists {role.exists() or member.exists()}ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"RIVCareManager-careteam","CareTeam.participant.id","CareTeam.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.participant.extension","CareTeam.participant.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.participant.extension:contactViaTeam","CareTeam.participant.extension","contactViaTeam","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir.inera.se/ig/careteam/StructureDefinition/riv-contact-via-team-extension]]} {[]}
","Team som den fasta kontakten nås via","Anger det team som den fasta kontakten kan nås via när kontaktuppgifter inte finns direkt till den namngivna personen. Kontaktuppgifter kan då hämtas från den refererade teamresursens telecom.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.participant.modifierExtension","CareTeam.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.participant.role","CareTeam.participant.role","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Typ av fast kontakt","Anger vilken typ av fast kontakt relationen avser, exempelvis fast vårdkontakt, fast läkarkontakt eller fast omsorgskontakt. Rollen avser funktion i relation till invånaren, inte yrkestitel eller befattning.","Roles may sometimes be inferred by type of Practitioner.  These are relationships that hold only within the context of the care team.  General relationships should be handled as properties of the Patient resource directly.  If a participant has multiple roles within the team, then there should be multiple participants.","","","","","","","","",,"required","","https://fhir.inera.se/ig/careteam/ValueSet/typ-av-fast-kontakt-vs","",,,,"CareTeam.participant.role",0,1,"ctm-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.participant.member","CareTeam.participant.member","","","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Namngiven vård- eller omsorgspersonal","Den individ som i rollen som fast kontakt har ett samordnande ansvar för invånaren.","Patient only needs to be listed if they have a role other than ""subject of care"".

Member is optional because some participants may be known only by their role, particularly in draft plans.","","","","","","","","",,,,,"",,,,"CareTeam.participant.member",0,1,"ctm-1
ctm-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.participant.onBehalfOf","CareTeam.participant.onBehalfOf","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Organization of the practitioner","The organization of the practitioner.","","Practitioners can be associated with multiple organizations.  This element indicates which organization they were acting on behalf of.","","","","","","","",,,,,"",,,,"CareTeam.participant.onBehalfOf",0,1,"ctm-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.participant.coverage[x]","CareTeam.participant.coverage[x]","","","",0,1,"","","","Period {[]} {[]}
Timing {[]} {[]}","When the member is generally available within this care team","When the member is generally available within this care team.","This is populated while creating / managing the CareTeam to ensure there is coverage when servicing CarePlan activities from the Schedule.","To manage members who share the same role, but with different timing.  For example, two physical therapists where one is available Monday through Friday whereas the other is available on the weekend.","","","","","","","",,,,,"",,,,"CareTeam.participant.coverage[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.reason","CareTeam.reason","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition|5.0.0]]}
","Why the care team exists","Describes why the care team exists.","","","","","","","","","",,"example","Indicates the reason for the care team.","http://hl7.org/fhir/ValueSet/clinical-findings|5.0.0","",,,,"CareTeam.reason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.managingOrganization","CareTeam.managingOrganization","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Organization responsible for the care team","The organization responsible for the care team.","","Allows for multiple organizations to collaboratively manage cross-organizational, longitudinal care plan.","","","","","","","",,,,,"",,,,"CareTeam.managingOrganization",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom","CareTeam.telecom","","","",0,*,"Y","","","ContactPoint {[]} {[]}
","Kontaktuppgifter till den fasta kontakten","Kontaktuppgifter som ska användas av invånaren för att nå den fasta kontakten när kontaktvägen uttrycks direkt på relationen fast kontakt. Om den fasta kontakten nås via ett team kan teamet anges med participant.extension[contactViaTeam] och kontaktuppgifter uttryckas på den refererade teamresursen.","The ContactPoint.use code of home is not appropriate to use. These contacts are not the contact details of individual care team members.","","","","","","","","",,,,,"",,,,"CareTeam.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.id","CareTeam.telecom.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.telecom.extension","CareTeam.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability","CareTeam.telecom.extension","availability","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir.inera.se/ig/careteam/StructureDefinition/RIVContactPointAvailability]]} {[]}
","Tillgänglighet för kontaktväg","Anger under vilka tider och veckodagar kontaktvägen är tillgänglig.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.id","CareTeam.telecom.extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.extension","CareTeam.telecom.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.url","CareTeam.telecom.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://fhir.inera.se/ig/careteam/StructureDefinition/RIVContactPointAvailability""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x]","CareTeam.telecom.extension.value[x]","","","",1,1,"Y","","","Availability {[]} {[]}
","Kontaktvägens tillgänglighet","Anger under vilka veckodagar och tider kontaktvägen är tillgänglig.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].id","CareTeam.telecom.extension.value[x].id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].extension","CareTeam.telecom.extension.value[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime","CareTeam.telecom.extension.value[x].availableTime","","","",1,*,"Y","","Y","Element {[]} {[]}
","Tillgänglig tid","Anger återkommande veckodagar och tider då kontaktvägen är tillgänglig.","","A collection of times that the {item} is available.","","","","","","","",,,,,"",,,,"Availability.availableTime",0,*,"","av-1:Cannot include start/end times when selecting all day availability. {allDay.exists().not() or (allDay implies availableStartTime.exists().not() and availableEndTime.exists().not())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.id","CareTeam.telecom.extension.value[x].availableTime.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.extension","CareTeam.telecom.extension.value[x].availableTime.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.daysOfWeek","CareTeam.telecom.extension.value[x].availableTime.daysOfWeek","","","",1,*,"Y","","Y","code {[]} {[]}
","Veckodag","Veckodag då kontaktvägen är tillgänglig.","","Indicates which days of the week are available between the start and end Times.","","","","","","","",,"required","The purpose for which an extended contact detail should be used.","http://hl7.org/fhir/ValueSet/days-of-week|5.0.0","",,,,"Availability.availableTime.daysOfWeek",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.allDay","CareTeam.telecom.extension.value[x].availableTime.allDay","","","",0,1,"","","Y","boolean {[]} {[]}
","Always available? i.e. 24 hour service","Always available? i.e. 24 hour service.","","Is this always available? (hence times are irrelevant) i.e. 24 hour service.","","","","","","","",,,,,"",,,,"Availability.availableTime.allDay",0,1,"av-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.availableStartTime","CareTeam.telecom.extension.value[x].availableTime.availableStartTime","","","",0,1,"Y","","Y","time {[]} {[]}
","Starttid","Tidpunkt då tillgängligheten börjar.","The timezone is expected to be specified or implied by the context this datatype is used.","The opening time of day. Note: If the AllDay flag is set, then this time is ignored.","","","","","","","",,,,,"",,,,"Availability.availableTime.availableStartTime",0,1,"av-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].availableTime.availableEndTime","CareTeam.telecom.extension.value[x].availableTime.availableEndTime","","","",0,1,"Y","","Y","time {[]} {[]}
","Sluttid","Tidpunkt då tillgängligheten upphör.","The timezone is expected to be specified or implied by the context this datatype is used.","The closing time of day. Note: If the AllDay flag is set, then this time is ignored.","","","","","","","",,,,,"",,,,"Availability.availableTime.availableEndTime",0,1,"av-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].notAvailableTime","CareTeam.telecom.extension.value[x].notAvailableTime","","","",0,*,"","","Y","Element {[]} {[]}
","Not available during this time due to provided reason","Not available during this time due to provided reason.","","The {item} is not available during this period of time due to the provided reason.","","","","","","","",,,,,"",,,,"Availability.notAvailableTime",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].notAvailableTime.id","CareTeam.telecom.extension.value[x].notAvailableTime.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].notAvailableTime.extension","CareTeam.telecom.extension.value[x].notAvailableTime.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].notAvailableTime.description","CareTeam.telecom.extension.value[x].notAvailableTime.description","","","",0,1,"","","Y","string {[]} {[]}
","Reason presented to the user explaining why time not available","Reason presented to the user explaining why time not available.","The reason will generally be provided to give the textual reason for displaying when the {item} is not available, e.g. 'Closed public holidays' or 'Independence Day'. In cases such as this, the `during` might not be included and local knowledge would be required in such cases (as don't desire to keep updating when the holiday occurs each year).

e.g.2: 'Closed for maintenance over the summer' for this example you would want to include the `during` period, unless this was a university hospital and the ""summer"" period was well known, but would recommend its inclusion anyway.","The reason that can be presented to the user as to why this time is not available.","","","","","","","",,,,,"",,,,"Availability.notAvailableTime.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.extension:availability.value[x].notAvailableTime.during","CareTeam.telecom.extension.value[x].notAvailableTime.during","","","",0,1,"","","Y","Period {[]} {[]}
","Service not available during this period","Service not available during this period.","","The {item} is not available (seasonally or for a public holiday) during this period.","","","","","","","",,,,,"",,,,"Availability.notAvailableTime.during",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.system","CareTeam.telecom.system","","","",0,1,"Y","","Y","code {[]} {[]}
","phone | fax | email | pager | url | sms | other","Telecommunications form for contact point - what communications system is required to make use of the contact.","","","","","","","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|5.0.0","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.value","CareTeam.telecom.value","","","",0,1,"Y","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.use","CareTeam.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|5.0.0","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.rank","CareTeam.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.

Ranks need not be unique.  E.g. it's possible to have multiple contacts with rank=1.  If the ranks have different systems or uses, this would be interpreted to mean ""X is my most preferred phone number, Y is my most preferred email address"" or ""X is my preferred home email and Y is my preferred work email"".  If the system and use for equally-ranked contacts are the same, then the level of preference is equivalent for both repetitions. 

Ranks need not be sequential and not all repetitions must have a rank.  For example, it's possible to have 4 contacts with ranks of 2, 5 and two with no rank specified.  That would be interpreted to mean the first is preferred over the second and no preference stated for the remaining contacts.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.telecom.period","CareTeam.telecom.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVCareManager-careteam","CareTeam.note","CareTeam.note","","","",0,*,"Y","","","Annotation {[]} {[]}
","Kommentar","Kommentar eller kompletterande information om den fasta kontakten.","","","","","","","","","",,,,,"",,,,"CareTeam.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVContactPointAvailability","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Tillgänglighet för kontaktväg","Anger när en kontaktväg är tillgänglig.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVContactPointAvailability","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVContactPointAvailability","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVContactPointAvailability","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://fhir.inera.se/ig/careteam/StructureDefinition/RIVContactPointAvailability""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"RIVContactPointAvailability","Extension.value[x]","Extension.value[x]","","","",1,1,"Y","","","Availability {[]} {[]}
","Kontaktvägens tillgänglighet","Anger under vilka veckodagar och tider kontaktvägen är tillgänglig.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RIVContactPointAvailability","Extension.value[x].id","Extension.value[x].id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"RIVContactPointAvailability","Extension.value[x].extension","Extension.value[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RIVContactPointAvailability","Extension.value[x].availableTime","Extension.value[x].availableTime","","","",1,*,"Y","","Y","Element {[]} {[]}
","Tillgänglig tid","Anger återkommande veckodagar och tider då kontaktvägen är tillgänglig.","","A collection of times that the {item} is available.","","","","","","","",,,,,"",,,,"Availability.availableTime",0,*,"","av-1:Cannot include start/end times when selecting all day availability. {allDay.exists().not() or (allDay implies availableStartTime.exists().not() and availableEndTime.exists().not())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
